
連續成功分析 - 純精確排序位置
================================================================================
門檻設定: 單球≥3 | 雙球≥5 | 三球≥10
================================================================================
最近 3 個有資料的天數:
================================================================================

2026/02/08:
  期號 11782: 排序1=18 | 排序2=20 | 排序3=24 | 排序4=29 | 排序5=33

2026/02/09:
  期號 11783: 排序1=02 | 排序2=08 | 排序3=11 | 排序4=36 | 排序5=37

2026/02/10:
  期號 11784: 排序1=04 | 排序2=05 | 排序3=12 | 排序4=26 | 排序5=32

總共: 15 個號碼
================================================================================

觸發條件: 15 個
目標球: 15 個
================================================================================

[1/15] 分析: 18 在排序1
  找到: 單球0個 | 雙球0個 | 三球0個

[2/15] 分析: 20 在排序2
  找到: 單球0個 | 雙球0個 | 三球0個

[3/15] 分析: 24 在排序3
  找到: 單球0個 | 雙球0個 | 三球0個

[4/15] 分析: 29 在排序4
  找到: 單球0個 | 雙球0個 | 三球0個

[5/15] 分析: 33 在排序5
  找到: 單球0個 | 雙球0個 | 三球0個

[6/15] 分析: 02 在排序1
  找到: 單球0個 | 雙球0個 | 三球0個

[7/15] 分析: 08 在排序2
  找到: 單球0個 | 雙球0個 | 三球0個

[8/15] 分析: 11 在排序3
  找到: 單球0個 | 雙球0個 | 三球0個

[9/15] 分析: 36 在排序4
  找到: 單球0個 | 雙球0個 | 三球0個

[10/15] 分析: 37 在排序5
  找到: 單球0個 | 雙球0個 | 三球0個

[11/15] 分析: 04 在排序1
  找到: 單球1個 | 雙球4個 | 三球27個

[12/15] 分析: 05 在排序2
  找到: 單球2個 | 雙球12個 | 三球12個

[13/15] 分析: 12 在排序3
  找到: 單球0個 | 雙球5個 | 三球4個

[14/15] 分析: 26 在排序4
  找到: 單球1個 | 雙球4個 | 三球20個

[15/15] 分析: 32 在排序5
  找到: 單球0個 | 雙球6個 | 三球7個

================================================================================
完成！共 105 個模式 (已過濾 3975 個已實現的模式)

================================================================================
完整模式列表 (共 105 個)
門檻設定: 單球≥3次 (4個) | 雙球≥5次 (31個) | 三球≥10次 (70個)
================================================================================
排名    類型      觸發球       位置          目標球                           連續    
--------------------------------------------------------------------------------
1     三球      '04       排序1         '20/'32/'33                   31    
2     三球      '04       排序1         '02/'32/'33                   20    
3     三球      '05       排序2         '20/'32/'36                   20    
4     三球      '04       排序1         '11/'32/'33                   18    
5     三球      '04       排序1         '29/'32/'33                   18    
6     三球      '04       排序1         '05/'32/'33                   17    
7     三球      '04       排序1         '08/'32/'33                   17    
8     三球      '04       排序1         '12/'32/'33                   17    
9     三球      '04       排序1         '18/'32/'33                   17    
10    三球      '04       排序1         '24/'32/'33                   17    
11    三球      '04       排序1         '26/'32/'33                   17    
12    三球      '04       排序1         '32/'33/'36                   17    
13    三球      '04       排序1         '32/'33/'37                   17    
14    三球      '32       排序5         '11/'18/'24                   16    
15    三球      '32       排序5         '11/'24/'37                   16    
16    三球      '12       排序3         '04/'11/'36                   15    
17    三球      '12       排序3         '11/'18/'36                   15    
18    三球      '12       排序3         '11/'29/'36                   15    
19    三球      '26       排序4         '11/'18/'33                   15    
20    三球      '32       排序5         '24/'29/'33                   14    
21    三球      '04       排序1         '24/'33/'37                   13    
22    三球      '05       排序2         '02/'33/'37                   13    
23    三球      '05       排序2         '32/'33/'36                   13    
24    三球      '26       排序4         '04/'24/'33                   13    
25    三球      '26       排序4         '11/'24/'37                   13    
26    三球      '04       排序1         '20/'24/'33                   12    
27    三球      '04       排序1         '24/'33/'36                   12    
28    三球      '26       排序4         '18/'24/'33                   12    
29    三球      '26       排序4         '24/'33/'36                   12    
30    三球      '26       排序4         '24/'33/'37                   12    
31    三球      '32       排序5         '04/'11/'24                   12    
32    三球      '32       排序5         '08/'24/'33                   12    
33    三球      '32       排序5         '11/'24/'33                   12    
34    三球      '04       排序1         '02/'12/'33                   11    
35    三球      '04       排序1         '02/'24/'33                   11    
36    三球      '04       排序1         '02/'26/'33                   11    
37    三球      '04       排序1         '05/'24/'33                   11    
38    三球      '04       排序1         '08/'24/'33                   11    
39    三球      '04       排序1         '11/'12/'33                   11    
40    三球      '04       排序1         '11/'24/'33                   11    
41    三球      '04       排序1         '11/'26/'33                   11    
42    三球      '04       排序1         '12/'24/'33                   11    
43    三球      '04       排序1         '18/'24/'33                   11    
44    三球      '04       排序1         '24/'26/'33                   11    
45    三球      '04       排序1         '24/'29/'33                   11    
46    三球      '05       排序2         '02/'08/'11                   11    
47    三球      '05       排序2         '02/'08/'36                   11    
48    三球      '05       排序2         '02/'32/'36                   11    
49    三球      '05       排序2         '02/'36/'37                   11    
50    三球      '05       排序2         '12/'32/'36                   11    
51    三球      '12       排序3         '04/'11/'33                   11    
52    三球      '26       排序4         '02/'05/'33                   11    
53    三球      '26       排序4         '02/'08/'33                   11    
54    三球      '26       排序4         '02/'11/'33                   11    
55    三球      '26       排序4         '02/'12/'33                   11    
56    三球      '26       排序4         '02/'24/'33                   11    
57    三球      '26       排序4         '02/'32/'33                   11    
58    三球      '26       排序4         '05/'24/'33                   11    
59    三球      '26       排序4         '08/'24/'33                   11    
60    三球      '26       排序4         '11/'24/'33                   11    
61    三球      '26       排序4         '11/'32/'33                   11    
62    三球      '26       排序4         '12/'24/'33                   11    
63    三球      '26       排序4         '20/'24/'33                   11    
64    三球      '26       排序4         '24/'29/'33                   11    
65    三球      '26       排序4         '24/'32/'33                   11    
66    三球      '05       排序2         '02/'11/'32                   10    
67    三球      '05       排序2         '02/'11/'37                   10    
68    三球      '05       排序2         '02/'18/'37                   10    
69    三球      '05       排序2         '11/'12/'32                   10    
70    三球      '32       排序5         '11/'18/'33                   10    
71    雙球      '04       排序1         '32/'33                       17    
72    雙球      '04       排序1         '24/'33                       11    
73    雙球      '26       排序4         '24/'33                       11    
74    雙球      '04       排序1         '02/'33                       9     
75    雙球      '04       排序1         '11/'33                       9     
76    雙球      '05       排序2         '32/'36                       9     
77    雙球      '32       排序5         '24/'33                       9     
78    雙球      '05       排序2         '02/'37                       8     
79    雙球      '32       排序5         '11/'24                       7     
80    雙球      '32       排序5         '24/'36                       7     
81    雙球      '05       排序2         '02/'08                       6     
82    雙球      '05       排序2         '02/'32                       6     
83    雙球      '05       排序2         '12/'32                       6     
84    雙球      '05       排序2         '26/'32                       6     
85    雙球      '05       排序2         '29/'32                       6     
86    雙球      '12       排序3         '11/'33                       6     
87    雙球      '12       排序3         '11/'36                       6     
88    雙球      '05       排序2         '02/'04                       5     
89    雙球      '05       排序2         '02/'24                       5     
90    雙球      '05       排序2         '02/'26                       5     
91    雙球      '05       排序2         '02/'33                       5     
92    雙球      '05       排序2         '24/'29                       5     
93    雙球      '12       排序3         '08/'11                       5     
94    雙球      '12       排序3         '11/'18                       5     
95    雙球      '12       排序3         '11/'32                       5     
96    雙球      '26       排序4         '02/'08                       5     
97    雙球      '26       排序4         '08/'24                       5     
98    雙球      '26       排序4         '20/'24                       5     
99    雙球      '32       排序5         '08/'24                       5     
100   雙球      '32       排序5         '18/'24                       5     
101   雙球      '32       排序5         '20/'24                       5     
102   單球      '05       排序2         '32                           4     
103   單球      '04       排序1         '33                           3     
104   單球      '05       排序2         '02                           3     
105   單球      '26       排序4         '11                           3     

================================================================================
目標球出現次數統計 (同一觸發條件下，一個號碼只算一次)
================================================================================
號碼        出現次數      
--------------------------------------------------------------------------------
08        5         
11        5         
18        5         
29        5         
33        5         
36        5         
04        4         
20        4         
24        4         
32        4         
37        4         
02        3         
12        3         
05        2         
26        2         
================================================================================
